Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,35608981395
AA,Alcoa,Metals & Mining,8259625458
AAC,Ares Acquisition,Blank Check / SPAC,1228749950
AACG,ATA Creativity Global,Diversified Consumer Services,33494513
AACI,Armada Acquisition I,Blank Check / SPAC,203988575
AADI,Aadi Bioscience,Biotechnology,267429340
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,93733503
AAL,American Airlines Group,Airlines,8528132094
AAMC,Altisource Asset Management,Real Estate Management & Development,20593485
AAME,Atlantic American,Insurance,51825144
AAN,The Aaron's Company,Specialty Retail,452954814
AAOI,Applied Optoelectronics,Communications Equipment,43109196
AAON,"AAON, Inc.",Building Products,2959780824
AAP,Advance Auto Parts,Specialty Retail,10529494872
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.24861E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,488500029
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2314914557
AATC,Autoscope Technologies,Scientific & Technical Instruments,28898386
AAU,Almaden Minerals,Metals & Mining,31286385
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,1731454306
AB,AllianceBernstein Holding,Capital Markets,4197908217
ABB,ABB Ltd,Electrical Equipment,50653466617
ABBV,AbbVie,Biotechnology,2.71782E+11
ABC,AmerisourceBergen,Health Care Providers & Services,29982676959
ABCB,Ameris Bancorp,Banks,2835758072
ABCL,AbCellera Biologics,Biotechnology,3027463167
ABCM,Abcam,Biotechnology,3360927221
ABEO,Abeona Therapeutics,Biotechnology,28155620
ABEV,Ambev,Beverages,41212669952
ABG,Asbury Automotive Group,Specialty Retail,3834911664
ABGI,ABG Acquisition I,Blank Check / SPAC,189266153
ABIO,ARCA biopharma,Biotechnology,35737048
ABM,ABM Industries,Commercial Services & Supplies,2885245920
ABMD,Abiomed,Health Care Equipment & Supplies,11614503902
ABNB,Airbnb,"Hotels, Restaurants & Leisure",59020054464
ABOS,Acumen Pharmaceuticals,Biotechnology,190761118
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2157921020
ABSI,Absci,Biotechnology,309197150
ABST,Absolute Software,Software-Application,440019551
ABT,Abbott Laboratories,Health Care Equipment & Supplies,1.92989E+11
ABTX,Allegiance Bancshares,Banks,792708090
ABUS,Arbutus Biopharma,Biotechnology,416438400
ABVC,ABVC BioPharma,Biotechnology,32630371
AC,Associated Capital Group,Capital Markets,807681131
ACA,Arcosa,Construction & Engineering,2237750233
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,299400000
ACAC,Acri Capital Acquisition,Blank Check / SPAC,269062000
ACAD,ACADIA Pharmaceuticals,Biotechnology,2319734514
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,422625019
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,321260539
ACAX,Alset Capital Acquisition,Blank Check / SPAC,104816920
ACB,Aurora Cannabis,Pharmaceuticals,401958463
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,62356200
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,17939648478
ACCD,Accolade,Health Care Technology,678625534
ACCO,ACCO Brands,Commercial Services & Supplies,637200063
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,375375000
